,exposure_age,crn_conc_erate_1e-06,crn_conc_erate_0.0001,crn_conc_erate_0.001,crn_conc_erate_0.03
0,1000,4998.722892927238,4995.956764478736,4970.903540459892,4246.627729245046
1,2000,9994.89244153808,9983.835775541185,9884.065245346099,7281.286937823614
2,5000,24968.094060615975,24899.13678849539,24283.76775207385,12106.952431039908
3,10000,49872.48480484841,49597.63158483539,47189.5264997956,14363.079284903022
4,20000,99490.806057202,98399.14941820498,89175.36615104708,14861.854558281568
5,30000,148856.25904266222,146417.33227774396,126531.34028289681,14879.175131983011
6,50000,246833.70838332866,240153.78588895677,189339.5725983537,14879.797496865851
7,100000,487441.5446641633,461642.39429327723,294906.4093309196,14879.798248287681
8,200000,950603.7792614972,854314.0909820261,386582.57549052354,14879.79824828772
9,300000,1390696.0485919565,1188319.5100823878,415081.51337658503,14879.79824828772
10,400000,1808867.4603712773,1472423.5617090988,423940.8439382449,14879.79824828772
11,500000,2206209.8856212106,1714081.6532697617,426694.9022934915,14879.79824828772
12,1000000,3915043.6728728022,2477303.99899469,427933.63787633454,14879.79824828772
